Registration ID,Year,Month,County,Registration type,Engine type,Car registration count
1,2019,January,Galway,New Irish Registrations,Non electric,1173
2,2019,February,Galway,New Irish Registrations,Non electric,487
3,2019,March,Galway,New Irish Registrations,Non electric,482
4,2019,April,Galway,New Irish Registrations,Non electric,200
5,2019,May,Galway,New Irish Registrations,Non electric,147
6,2019,June,Galway,New Irish Registrations,Non electric,17
7,2019,July,Galway,New Irish Registrations,Non electric,763
8,2019,August,Galway,New Irish Registrations,Non electric,165
9,2019,September,Galway,New Irish Registrations,Non electric,112
10,2019,October,Galway,New Irish Registrations,Non electric,66
11,2019,July,Galway,New Imports,Non electric,1
12,2019,January,Galway,Used Imports,Non electric,503
13,2019,February,Galway,Used Imports,Non electric,472
14,2019,March,Galway,Used Imports,Non electric,516
15,2019,April,Galway,Used Imports,Non electric,456
16,2019,May,Galway,Used Imports,Non electric,507
17,2019,June,Galway,Used Imports,Non electric,465
18,2019,July,Galway,Used Imports,Non electric,471
19,2019,August,Galway,Used Imports,Non electric,507
20,2019,September,Galway,Used Imports,Non electric,586
21,2019,October,Galway,Used Imports,Non electric,603
22,2019,January,Galway,New Irish Registrations,Electric,30
23,2019,February,Galway,New Irish Registrations,Electric,12
24,2019,March,Galway,New Irish Registrations,Electric,9
25,2019,April,Galway,New Irish Registrations,Electric,7
26,2019,May,Galway,New Irish Registrations,Electric,6
27,2019,July,Galway,New Irish Registrations,Electric,34
28,2019,August,Galway,New Irish Registrations,Electric,5
29,2019,September,Galway,New Irish Registrations,Electric,3
30,2019,October,Galway,New Irish Registrations,Electric,6
31,2019,January,Galway,Used Imports,Electric,3
32,2019,February,Galway,Used Imports,Electric,5
33,2019,March,Galway,Used Imports,Electric,1
34,2019,April,Galway,Used Imports,Electric,1
35,2019,May,Galway,Used Imports,Electric,2
36,2019,June,Galway,Used Imports,Electric,4
37,2019,July,Galway,Used Imports,Electric,2
38,2019,August,Galway,Used Imports,Electric,3
39,2019,September,Galway,Used Imports,Electric,1
40,2019,October,Galway,Used Imports,Electric,6
41,2019,January,Galway,New Irish Registrations,Hybrid,129
42,2019,February,Galway,New Irish Registrations,Hybrid,80
43,2019,March,Galway,New Irish Registrations,Hybrid,69
44,2019,April,Galway,New Irish Registrations,Hybrid,57
45,2019,May,Galway,New Irish Registrations,Hybrid,31
46,2019,June,Galway,New Irish Registrations,Hybrid,5
47,2019,July,Galway,New Irish Registrations,Hybrid,126
48,2019,August,Galway,New Irish Registrations,Hybrid,19
49,2019,September,Galway,New Irish Registrations,Hybrid,11
50,2019,October,Galway,New Irish Registrations,Hybrid,14
51,2019,January,Galway,Used Imports,Hybrid,27
52,2019,February,Galway,Used Imports,Hybrid,24
53,2019,March,Galway,Used Imports,Hybrid,28
54,2019,April,Galway,Used Imports,Hybrid,31
55,2019,May,Galway,Used Imports,Hybrid,37
56,2019,June,Galway,Used Imports,Hybrid,22
57,2019,July,Galway,Used Imports,Hybrid,22
58,2019,August,Galway,Used Imports,Hybrid,26
59,2019,September,Galway,Used Imports,Hybrid,36
60,2019,October,Galway,Used Imports,Hybrid,27
61,2019,January,Leitrim,New Irish Registrations,Non electric,116
62,2019,February,Leitrim,New Irish Registrations,Non electric,32
63,2019,March,Leitrim,New Irish Registrations,Non electric,55
64,2019,April,Leitrim,New Irish Registrations,Non electric,22
65,2019,May,Leitrim,New Irish Registrations,Non electric,12
66,2019,June,Leitrim,New Irish Registrations,Non electric,7
67,2019,July,Leitrim,New Irish Registrations,Non electric,72
68,2019,August,Leitrim,New Irish Registrations,Non electric,15
69,2019,September,Leitrim,New Irish Registrations,Non electric,11
70,2019,October,Leitrim,New Irish Registrations,Non electric,4
71,2019,January,Leitrim,New Imports,Non electric,1
72,2019,March,Leitrim,New Imports,Non electric,1
73,2019,January,Leitrim,Used Imports,Non electric,76
74,2019,February,Leitrim,Used Imports,Non electric,73
75,2019,March,Leitrim,Used Imports,Non electric,76
76,2019,April,Leitrim,Used Imports,Non electric,65
77,2019,May,Leitrim,Used Imports,Non electric,79
78,2019,June,Leitrim,Used Imports,Non electric,61
79,2019,July,Leitrim,Used Imports,Non electric,62
80,2019,August,Leitrim,Used Imports,Non electric,65
81,2019,September,Leitrim,Used Imports,Non electric,62
82,2019,October,Leitrim,Used Imports,Non electric,82
83,2019,January,Leitrim,New Irish Registrations,Electric,4
